STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude,Number,Street,City,State,County,Zip
30065,S,Grand/State (95th-bound),Grand,Grand (Red Line),40330,1,1,,,,,,,,,"(41.891665, -87.628021)",41.891423,-87.628261,1,W Grand Ave,Chicago,IL,Cook County,60654
30064,N,Grand/State (Howard-bound),Grand,Grand (Red Line),40330,1,1,,,,,,,,,"(41.891665, -87.628021)",41.891423,-87.628261,1,W Grand Ave,Chicago,IL,Cook County,60654
30148,S,Granville (95th-bound),Granville,Granville (Red Line),40760,1,1,,,,,,,,,"(41.993664, -87.659202)",41.993709,-87.659164,1119,W Granville Ave,Chicago,IL,Cook County,60660
30147,N,Granville (Howard-bound),Granville,Granville (Red Line),40760,1,1,,,,,,,,,"(41.993664, -87.659202)",41.993709,-87.659164,1119,W Granville Ave,Chicago,IL,Cook County,60660
30215,N,Halsted (Loop-bound),Halsted,Halsted (Orange Line),41130,1,,,,,,,,,1,"(41.84678, -87.648088)",41.846928,-87.648085,2520,S Archer Ave,Chicago,IL,Cook County,60608
30216,S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),41130,1,,,,,,,,,1,"(41.84678, -87.648088)",41.846928,-87.648085,2520,S Archer Ave,Chicago,IL,Cook County,60608
30184,W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940,1,,,1,,,,,,,"(41.778943, -87.644244)",41.779043,-87.644006,6321,S Halsted St,Chicago,IL,Cook County,60621
30183,E,Halsted/63rd (Harlem-bound),Halsted,Halsted (Green Line),40940,1,,,1,,,,,,,"(41.778943, -87.644244)",41.779043,-87.644006,6321,S Halsted St,Chicago,IL,Cook County,60621
30146,S,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,1,,1,,,,,,,,"(41.98227, -87.8089)",41.98237,-87.808057,,I 90,Chicago,IL,Cook County,60656
30145,N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,1,,1,,,,,,,,"(41.98227, -87.8089)",41.98237,-87.808057,,I 90,Chicago,IL,Cook County,60656
30004,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020,1,,,1,,,,,,,"(41.886848, -87.803176)",41.886559,-87.803179,1113,South Blvd,Oak Park,IL,Cook County,60302
30003,E,Harlem (63rd-bound),Harlem/Lake,Harlem/Lake (Green Line),40020,1,,,1,,,,,,,"(41.886848, -87.803176)",41.886559,-87.803179,1113,South Blvd,Oak Park,IL,Cook County,60302
30286,S,Harrison (95th-bound),Harrison,Harrison (Red Line),41490,,1,,,,,,,,,"(41.874039, -87.627479)",41.873968,-87.627451,721,S State St,Chicago,IL,Cook County,60605
30285,N,Harrison (Howard-bound),Harrison,Harrison (Red Line),41490,,1,,,,,,,,,"(41.874039, -87.627479)",41.873968,-87.627451,721,S State St,Chicago,IL,Cook County,60605
30062,N,Division (O'Hare-bound),Division,Division (Blue Line),40320,,,1,,,,,,,,"(41.903355, -87.666496)",41.903134,-87.666567,1184,N Milwaukee Ave,Chicago,IL,Cook County,60642
30224,S,Garfield (95th-bound),Garfield,Garfield (Red Line),41170,1,1,,,,,,,,,"(41.79542, -87.631157)",41.795454,-87.631192,220,W Garfield Blvd,Chicago,IL,Cook County,60609
30189,E,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - Forest Park Branch),40980,,,1,,,,,,,,"(41.87349, -87.806961)",41.872944,-87.807329,7301,Harrison St,Forest Park,IL,Cook County,60130
30166,W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,1,,,,,,1,,1,1,"(41.876862, -87.628196)",41.876925,-87.628572,26,W Van Buren St,Chicago,IL,Cook County,60604
30176,S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900,1,,,,,1,1,1,,,"(42.019063, -87.672892)",42.019051,-87.673017,1649,W Howard St,Chicago,IL,Cook County,60626
30173,N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900,1,1,,,,,,,,,"(42.019063, -87.672892)",42.019051,-87.673017,1649,W Howard St,Chicago,IL,Cook County,60626
30174,S,Howard (95th-Bound),Howard,"Howard (Red, Purple & Yellow Lines)",40900,1,1,,,,,,,,,"(42.019063, -87.672892)",42.019051,-87.673017,1649,W Howard St,Chicago,IL,Cook County,60626
30158,W,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,1,,1,,,,,,,,"(41.875706, -87.673932)",41.87571,-87.673781,413,S Wolcott Ave,Chicago,IL,Cook County,60612
30157,E,Illinois Medical District (O'Hare-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,1,,1,,,,,,,,"(41.875706, -87.673932)",41.87571,-87.673781,413,S Wolcott Ave,Chicago,IL,Cook County,60612
30059,S,Indiana (63rd-bound),Indiana,Indiana (Green Line),40300,1,,,1,,,,,,,"(41.821732, -87.621371)",41.82182,-87.62154,4003,S Indiana Ave,Chicago,IL,Cook County,60653
