long_date,Zip,permit_count
03/1/2018,60660,2
03/1/2018,60661,29
03/1/2019,60602,37
03/1/2019,60605,7
03/1/2019,60607,15
03/1/2019,60608,16
03/1/2019,60609,16
03/1/2019,60610,39
03/1/2019,60611,16
03/1/2019,60612,13
03/1/2019,60613,13
03/1/2019,60614,29
03/1/2019,60615,4
03/1/2019,60616,13
03/1/2019,60617,13
03/1/2019,60618,27
03/1/2019,60619,18
03/1/2019,60620,16
03/1/2019,60621,7
03/1/2019,60622,27
03/1/2019,60623,19
03/1/2019,60624,29
03/1/2019,60625,17
03/1/2019,60626,3
03/1/2019,60628,16
03/1/2019,60629,8
03/1/2019,60630,13
03/1/2019,60631,7
03/1/2019,60632,7
03/1/2019,60634,12
03/1/2019,60636,13
03/1/2019,60637,11
03/1/2019,60638,12
03/1/2019,60639,10
03/1/2019,60640,16
03/1/2019,60641,10
03/1/2019,60642,12
03/1/2019,60643,12
03/1/2019,60644,16
03/1/2019,60645,17
03/1/2019,60646,1
03/1/2019,60647,38
03/1/2019,60649,7
03/1/2019,60651,25
03/1/2019,60652,4
03/1/2019,60653,4
03/1/2019,60654,7
03/1/2019,60655,5
03/1/2019,60656,3
03/1/2019,60657,13
03/1/2019,60659,5
03/1/2019,60660,10
03/1/2019,60661,29
03/1/2020,60602,41
03/1/2020,60605,5
03/1/2020,60607,17
03/1/2020,60608,22
03/1/2020,60609,12
03/1/2020,60610,58
03/1/2020,60611,16
03/1/2020,60612,14
03/1/2020,60613,12
03/1/2020,60614,32
03/1/2020,60615,4
03/1/2020,60616,13
03/1/2020,60617,18
03/1/2020,60618,22
03/1/2020,60619,19
03/1/2020,60620,17
03/1/2020,60621,11
03/1/2020,60622,26
03/1/2020,60623,22
03/1/2020,60625,21
03/1/2020,60626,2
03/1/2020,60628,19
03/1/2020,60629,11
03/1/2020,60630,13
03/1/2020,60631,5
03/1/2020,60632,12
03/1/2020,60633,2
03/1/2020,60634,12
03/1/2020,60636,14
03/1/2020,60637,25
03/1/2020,60638,14
03/1/2020,60639,14
03/1/2020,60640,14
03/1/2020,60641,10
03/1/2020,60642,18
03/1/2020,60643,11
03/1/2020,60644,15
03/1/2020,60645,8
03/1/2020,60646,3
03/1/2020,60647,45
03/1/2020,60649,12
