Year,long_date,Zip,total_num_crimes,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates,predictions,Raw Diff,Abs Diff
2018,1/1/2018,60612,12,12,201801,337050,65,73,28,172.2250152,1413.5,487896,103,60612,37990,25143,364083,252,9.584,0.007,2.8,285,0.007501974,12,0.000315873,476,0.038316027,698,0.056186106,183,0.014730741,0,0,1117,0.029402474,1,2.63E-05,0,26149.39,4.03,167.2892358,4.935779447,4.935779447
2018,1/1/2018,60613,13,13,201801,340000,181,49,136,221.5,1086.5,579975,270,60613,50548,48381,4890,937,0.097,0.019,7.3,168,0.003323574,12,0.000237398,498,0.040086936,343,0.027610078,261,0.021009418,3,5.93E-05,10,0.000197832,5,9.89E-05,2,26149.39,4.03,228.7046764,-7.204676366,7.204676366
2018,1/1/2018,60614,42,42,201801,824300,325,64.5,176,317.5643275,1637.5,1509080,457,60614,65474,68324,7996,1735,0.122,0.026,9,191,0.002917189,8,0.000122186,683,0.054978669,534,0.042984786,412,0.033164292,13,0.000198552,17,0.000259645,11,0.000168006,3,26149.39,4.03,335.3961211,-17.83179363,17.83179363
2018,1/1/2018,60615,5,5,201801,189550,141,98,32,105.5942275,1400,355551,199,60615,45096,31571,4838,242,0.107,0.005,2.8,139,0.003082313,4,8.87E-05,236,0.018997022,213,0.017145617,122,0.009820494,3,6.65E-05,348,0.007716871,5,0.000110875,2,26149.39,4.03,130.5764512,-24.98222369,24.98222369
2018,1/1/2018,60616,12,12,201801,311538,111,69.5,56,244.1212838,1050,407700,192,60616,47073,30625,5463,598,0.116,0.013,3.9,225,0.00477981,8,0.000169949,323,0.026000161,402,0.032359333,288,0.023182806,1,2.12E-05,88,0.001869437,6,0.000127462,0,26149.39,4.03,215.7472463,28.37403753,28.37403753
2018,1/1/2018,60618,26,26,201801,562000,187,58,136,229.7309557,1700,687399,292,60618,98147,41355,15905,1059,0.162,0.011,5,277,0.002822297,4,4.08E-05,1240,0.09981486,1081,0.087016019,388,0.031232392,8,8.15E-05,31,0.000315853,9,9.17E-05,0,26149.39,4.03,210.3653786,19.36557709,19.36557709
2018,1/1/2018,60620,17,17,201801,126550,194,63,76,74.07303752,1305,125601,278,60620,85771,36334,16200,159,0.189,0.002,2.1,312,0.003637593,6,7.00E-05,835,0.067214038,768,0.061820816,181,0.01456975,1,1.17E-05,438,0.005106621,11,0.000128248,0,26149.39,4.03,122.5413545,-48.46831697,48.46831697
2018,1/1/2018,60621,3,3,201801,49950,33,104,8,25.29866202,1374,56635,46,60621,47514,19718,13071,100,0.275,0.002,2.2,232,0.004882771,6,0.000126279,489,0.039362473,301,0.024229252,86,0.006922643,1,2.10E-05,2026,0.042640064,2,4.21E-05,1,26149.39,4.03,38.99603839,-13.69737637,13.69737637
2018,1/1/2018,60622,18,18,201801,592050,169,48,136,220.6304348,1200,735790,282,60622,76015,38487,9133,1309,0.12,0.017,4.5,187,0.002460041,2,2.63E-05,890,0.07164131,596,0.047975529,380,0.030588425,2,2.63E-05,89,0.001170822,3,3.95E-05,0,26149.39,4.03,205.7842277,14.84620714,14.84620714
2018,1/1/2018,60624,14,14,201801,99500,33,95,4,52.72222222,1340,126820,41,60624,45647,22426,11645,95,0.255,0.002,2.5,180,0.003943304,8,0.000175258,536,0.043145778,296,0.023826773,100,0.008049585,0,0,1150,0.025193331,3,6.57E-05,0,26149.39,4.03,86.62957666,-33.90735444,33.90735444
2018,1/1/2018,60625,27,27,201801,333300,107,63,68,195.4392363,1396.5,499373,170,60625,91351,40083,9422,567,0.103,0.006,5.7,181,0.001981369,12,0.000131361,546,0.043950737,894,0.071963294,334,0.026885615,1,1.09E-05,62,0.000678701,4,4.38E-05,0,26149.39,4.03,224.4651935,-29.02595717,29.02595717
2018,1/1/2018,60626,3,3,201801,174500,74,68.5,52,138.8992281,915,220742,108,60626,59251,31318,4082,419,0.069,0.007,2.9,98,0.001653981,10,0.000168774,492,0.03960396,153,0.012315866,198,0.015938179,3,5.06E-05,32,0.000540075,6,0.000101264,0,26149.39,4.03,166.7545498,-27.85532165,27.85532165
2018,1/1/2018,60629,15,15,201801,175050,119,59,40,117.994954,1217,167965,206,60629,113984,40279,14734,225,0.129,0.002,3.3,242,0.002123105,2,1.75E-05,969,0.078000483,1174,0.094502133,244,0.019640988,1,8.77E-06,101,0.000886089,9,7.90E-05,0,26149.39,4.03,129.3599875,-11.36503354,11.36503354
2018,1/1/2018,60630,10,10,201801,299300,82,61.5,52,156.3388889,1160.5,328207,142,60630,54781,47905,9269,369,0.169,0.007,7,228,0.004162027,4,7.30E-05,979,0.078805442,1101,0.088625936,166,0.013362312,1,1.83E-05,57,0.001040507,5,9.13E-05,0,26149.39,4.03,161.4051972,-5.066308293,5.066308293
