long_date,Zip,total_num_crimes,total_num_noise,month_year,Full_date,short_date,zip_code,city_state,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
01/1/2018,60643,12,12,201801.0,01/1/2018,01/2018,60643.0,"chicago, il",166050.0,198.0,81.5,68.0,112.2307692,1359.5,198063.0,276.0
01/1/2018,60644,7,7,201801.0,01/1/2018,01/2018,60644.0,"chicago, il",84050.0,38.0,74.0,8.0,52.32425828,1322.0,103453.0,57.0
01/1/2018,60645,6,6,201801.0,01/1/2018,01/2018,60645.0,"chicago, il",210050.0,91.0,68.5,40.0,132.5630607,1200.0,263991.0,128.0
01/1/2018,60646,3,3,201801.0,01/1/2018,01/2018,60646.0,"chicago, il",518050.0,78.0,80.5,24.0,207.7529012,2149.0,576156.0,112.0
01/1/2018,60647,48,48,201801.0,01/1/2018,01/2018,60647.0,"chicago, il",537200.0,141.0,57.0,128.0,135.26137980000001,750.0,634814.0,231.0
01/1/2018,60649,11,11,201801.0,01/1/2018,01/2018,60649.0,"chicago, il",100050.0,80.0,89.5,32.0,73.07692308,1520.0,162432.0,133.0
01/1/2018,60651,19,19,201801.0,01/1/2018,01/2018,60651.0,"chicago, il",214000.0,52.0,58.0,20.0,131.3298582,1316.5,212610.0,87.0
01/1/2018,60652,4,4,201801.0,01/1/2018,01/2018,60652.0,"chicago, il",197500.0,96.0,49.5,40.0,131.47104720000002,1149.0,184969.0,166.0
01/1/2018,60653,4,4,201801.0,01/1/2018,01/2018,60653.0,"chicago, il",279050.0,95.0,71.0,32.0,138.7318841,1722.0,327566.0,155.0
01/1/2018,60654,7,7,201801.0,01/1/2018,01/2018,60654.0,"chicago, il",665050.0,158.0,62.5,88.0,422.77777779999997,1337.5,1025451.0,257.0
01/1/2018,60655,8,8,201801.0,01/1/2018,01/2018,60655.0,"chicago, il",233350.0,74.0,57.5,36.0,166.22817460000002,1229.0,257451.0,106.0
01/1/2018,60656,3,3,201801.0,01/1/2018,01/2018,60656.0,"chicago, il",259950.0,47.0,78.5,24.0,158.8940702,1022.0,249940.0,73.0
01/1/2018,60657,17,17,201801.0,01/1/2018,01/2018,60657.0,"chicago, il",593300.0,268.0,59.5,160.0,267.8928571,1250.0,804427.0,395.0
01/1/2018,60659,5,5,201801.0,01/1/2018,01/2018,60659.0,"chicago, il",240050.0,43.0,65.0,16.0,158.00986840000002,1200.0,268212.0,78.0
01/1/2018,60660,6,6,201801.0,01/1/2018,01/2018,60660.0,"chicago, il",209950.0,95.0,72.0,36.0,159.2666667,1000.0,275353.0,142.0
01/1/2018,60661,30,30,201801.0,01/1/2018,01/2018,60661.0,"chicago, il",382050.0,16.0,39.5,12.0,329.8285996,935.0,418043.0,28.0
01/1/2018,60706,0,0,,,,,,,,,,,,,
01/1/2018,60707,4,4,,,,,,,,,,,,,
01/1/2018,60712,2,2,,,,,,,,,,,,,
01/1/2018,60714,0,0,,,,,,,,,,,,,
01/1/2018,60804,2,2,,,,,,,,,,,,,
01/1/2018,60805,0,0,,,,,,,,,,,,,
01/1/2018,90615,2,2,,,,,,,,,,,,,
01/1/2019,9020,0,0,,,,,,,,,,,,,
01/1/2019,46394,1,1,,,,,,,,,,,,,
01/1/2019,60068,0,0,,,,,,,,,,,,,
01/1/2019,60202,1,1,,,,,,,,,,,,,
01/1/2019,60302,9,9,,,,,,,,,,,,,
01/1/2019,60409,2,2,,,,,,,,,,,,,
01/1/2019,60602,32,32,201901.0,01/1/2019,01/2019,60602.0,"chicago, il",1000050.0,18.0,95.5,4.0,517.5,1700.0,1225500.0,22.0
01/1/2019,60605,8,8,201901.0,01/1/2019,01/2019,60605.0,"chicago, il",439950.0,170.0,68.0,104.0,317.87426630000004,1295.0,805301.0,213.0
01/1/2019,60607,20,20,201901.0,01/1/2019,01/2019,60607.0,"chicago, il",499050.0,125.0,57.5,100.0,337.3066667,1270.0,664588.0,221.0
01/1/2019,60608,21,21,201901.0,01/1/2019,01/2019,60608.0,"chicago, il",300049.0,84.0,58.0,56.0,232.57575759999997,1200.0,356803.0,121.0
01/1/2019,60609,13,13,201901.0,01/1/2019,01/2019,60609.0,"chicago, il",227450.0,67.0,74.0,24.0,155.2430556,1380.5,261309.0,96.0
01/1/2019,60610,37,37,201901.0,01/1/2019,01/2019,60610.0,"chicago, il",547050.0,338.0,78.0,184.0,333.8062535,1400.0,1138136.0,396.0
01/1/2019,60611,9,9,201901.0,01/1/2019,01/2019,60611.0,"chicago, il",597050.0,556.0,89.0,260.0,419.0779497,1357.5,1029600.0,718.0
01/1/2019,60612,11,11,201901.0,01/1/2019,01/2019,60612.0,"chicago, il",392050.0,65.0,69.0,44.0,157.89393940000002,1434.0,533968.0,95.0
01/1/2019,60613,12,12,201901.0,01/1/2019,01/2019,60613.0,"chicago, il",325050.0,199.0,59.0,140.0,216.86274509999998,900.0,546452.0,290.0
01/1/2019,60614,22,22,201901.0,01/1/2019,01/2019,60614.0,"chicago, il",789500.0,419.0,68.0,304.0,328.38092539999997,1422.0,1214950.0,572.0
01/1/2019,60615,8,8,201901.0,01/1/2019,01/2019,60615.0,"chicago, il",190050.0,132.0,75.5,32.0,123.95833329999999,1200.0,327841.0,181.0
01/1/2019,60616,6,6,201901.0,01/1/2019,01/2019,60616.0,"chicago, il",366000.0,119.0,69.5,68.0,268.10648100000003,1222.0,440467.0,196.0
01/1/2019,60617,9,9,201901.0,01/1/2019,01/2019,60617.0,"chicago, il",115050.0,173.0,61.5,68.0,82.35085076,1250.0,122311.0,253.0
01/1/2019,60618,33,33,201901.0,01/1/2019,01/2019,60618.0,"chicago, il",549950.0,196.0,68.5,128.0,200.47217990000001,1500.0,634067.0,286.0
01/1/2019,60619,14,14,201901.0,01/1/2019,01/2019,60619.0,"chicago, il",138800.0,160.0,64.0,76.0,88.61551696,1316.0,136488.0,239.0
01/1/2019,60620,12,12,201901.0,01/1/2019,01/2019,60620.0,"chicago, il",148750.0,187.0,52.5,88.0,88.23529412,1302.0,143741.0,255.0
01/1/2019,60621,5,5,201901.0,01/1/2019,01/2019,60621.0,"chicago, il",50050.0,31.0,77.0,8.0,38.37525928,1281.0,63495.0,49.0
01/1/2019,60622,23,23,201901.0,01/1/2019,01/2019,60622.0,"chicago, il",592050.0,217.0,51.5,180.0,239.6176471,1250.0,710248.0,306.0
01/1/2019,60623,17,17,201901.0,01/1/2019,01/2019,60623.0,"chicago, il",140000.0,26.0,59.0,16.0,117.83963119999999,1250.0,181026.0,39.0
01/1/2019,60624,10,10,201901.0,01/1/2019,01/2019,60624.0,"chicago, il",107050.0,18.0,82.5,8.0,62.61666667,950.0,131681.0,25.0
01/1/2019,60625,27,27,201901.0,01/1/2019,01/2019,60625.0,"chicago, il",356300.0,104.0,67.0,72.0,192.6262626,1269.0,489293.0,165.0
01/1/2019,60626,3,3,201901.0,01/1/2019,01/2019,60626.0,"chicago, il",174300.0,87.0,69.5,56.0,141.3264875,800.0,209059.0,124.0
01/1/2019,60628,18,18,201901.0,01/1/2019,01/2019,60628.0,"chicago, il",99850.0,229.0,58.0,88.0,72.03165375,1200.0,101277.0,333.0
01/1/2019,60629,11,11,201901.0,01/1/2019,01/2019,60629.0,"chicago, il",199750.0,105.0,53.0,56.0,128.6868687,1266.5,196421.0,183.0
01/1/2019,60630,12,12,201901.0,01/1/2019,01/2019,60630.0,"chicago, il",347550.0,96.0,69.5,52.0,175.5145976,1386.0,350415.0,139.0
01/1/2019,60631,5,5,201901.0,01/1/2019,01/2019,60631.0,"chicago, il",364550.0,81.0,62.5,56.0,201.5458333,1381.5,378910.0,114.0
01/1/2019,60632,9,9,201901.0,01/1/2019,01/2019,60632.0,"chicago, il",230050.0,48.0,41.0,24.0,173.5648067,1140.0,237150.0,72.0
01/1/2019,60633,0,0,201901.0,01/1/2019,01/2019,60633.0,"chicago, il",129500.0,36.0,76.0,12.0,100.6078297,1227.0,126701.0,47.0
01/1/2019,60634,16,16,201901.0,01/1/2019,01/2019,60634.0,"chicago, il",305000.0,161.0,58.0,108.0,175.5,1381.0,307082.0,236.0
01/1/2019,60636,6,6,201901.0,01/1/2019,01/2019,60636.0,"chicago, il",61500.0,62.0,71.0,20.0,45.03754727,1064.0,68903.0,101.0
01/1/2019,60637,26,26,201901.0,01/1/2019,01/2019,60637.0,"chicago, il",174000.0,82.0,83.5,32.0,103.33333329999999,1200.0,223005.0,117.0
01/1/2019,60638,8,8,201901.0,01/1/2019,01/2019,60638.0,"chicago, il",247050.0,90.0,44.0,68.0,188.37626740000002,1136.0,242333.0,148.0
01/1/2019,60639,9,9,201901.0,01/1/2019,01/2019,60639.0,"chicago, il",262450.0,68.0,69.5,24.0,145.5072983,1315.5,259135.0,114.0
01/1/2019,60640,15,15,201901.0,01/1/2019,01/2019,60640.0,"chicago, il",242550.0,140.0,50.5,108.0,187.30158730000002,820.0,366815.0,222.0
01/1/2019,60641,7,7,201901.0,01/1/2019,01/2019,60641.0,"chicago, il",323800.0,94.0,65.5,52.0,169.15,1428.0,407477.0,145.0
