lat,lng,detail,Zip
41.86,-87.67,"{'house_number': '1537', 'road': 'South Wood Street', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.86,-87.66,"{'house_number': '1343', 'road': 'West 16th Street', 'neighbourhood': 'Lower West Side', 'suburb': 'Pilsen', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.85,-87.69,"{'house_number': '2323', 'road': 'South Rockwell Street', 'neighbourhood': 'South Lawndale', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.84,-87.7,"{'building': 'Department Of Corrections Division VI', 'house_number': '2801', 'road': 'South Sacramento Avenue', 'neighbourhood': 'South Lawndale', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.86,-87.65,"{'house_number': '949-951', 'road': 'West 16th Street', 'neighbourhood': 'Lower West Side', 'suburb': 'Pilsen', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.84,-87.65,"{'house_number': '2930', 'road': 'South Quinn Street', 'neighbourhood': 'Bridgeport', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.86,-87.69,"{'amenity': 'Stage 12', 'road': 'West 15th Street', 'commercial': 'Cinespace Chicago Film Studios', 'suburb': 'Illinois Medical District', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.85,-87.67,"{'building': 'Preferred Freezer Services', 'road': 'Paseo', 'neighbourhood': 'Lower West Side', 'suburb': 'Pilsen', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.84,-87.66,"{'house_number': '2976', 'road': 'South Bonaparte Street', 'neighbourhood': 'Bridgeport', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.87,-87.67,"{'amenity': 'University of Illinois at Chicago West Campus', 'road': 'West Washburne Avenue', 'neighbourhood': 'Near West Side', 'suburb': 'Illinois Medical District', 'district': 'Illinois Medical District', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.85,-87.65,"{'building': 'Chicago Scenic Studios', 'road': 'West Lumber Street', 'neighbourhood': 'Lower West Side', 'suburb': 'Pilsen', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.85,-87.66,"{'building': 'Illinois Brick Company', 'house_number': '2201', 'road': 'South Loomis Street', 'neighbourhood': 'Lower West Side', 'suburb': 'Pilsen', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.84,-87.69,"{'amenity': 'Cook County Boot Camp', 'road': 'South Rockwell Street', 'neighbourhood': 'South Lawndale', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.84,-87.68,"{'building': 'Swift Intermodal', 'house_number': '2915', 'road': 'South Leavitt Street', 'neighbourhood': 'Lower West Side', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60608', 'country': 'United States of America', 'country_code': 'us'}",60608
41.8,-87.65,"{'house_number': '952', 'road': 'West 52nd Street', 'neighbourhood': 'New City', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.83,-87.64,"{'house_number': '3526', 'road': 'South Parnell Avenue', 'neighbourhood': 'Bridgeport', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
41.84,-87.64,"{'house_number': '2959', 'road': 'South Parnell Avenue', 'neighbourhood': 'Bridgeport', 'city': 'Chicago', 'county': 'Cook County', 'state': 'Illinois', 'postcode': '60609', 'country': 'United States of America', 'country_code': 'us'}",60609
